ID,Age,Income,Debt,CreditScore,EmploymentYears,EducationLevel,Default
841432,62,59224,42816,808,2,High School,0
810575,61,62542,73108,415,30,Bachelor,0
154846,50,74686,51263,844,25,PhD,0
732117,32,104696,43183,305,7,PhD,0
793062,38,39607,42093,781,25,Master,0
847140,65,195697,73975,821,15,Bachelor,1
176541,47,45924,79757,461,6,PhD,1
408891,39,181190,56549,841,28,Bachelor,0
106802,49,97378,65196,368,19,Bachelor,0
550790,30,46129,43456,342,27,PhD,0
647181,46,42013,90305,510,6,PhD,0
948059,54,155653,17792,410,29,Bachelor,1
994000,42,147014,43860,710,9,Bachelor,0
725943,32,40282,92395,434,20,Bachelor,0
389195,38,146454,49592,317,3,Master,1
774257,32,138703,95058,305,23,Master,0
402224,58,192183,9953,678,28,Master,0
417151,63,24142,26128,450,18,PhD,0
808673,20,94728,10245,396,14,High School,0
764479,65,40621,24199,451,26,PhD,0
307447,55,147638,49077,314,21,Bachelor,0
758468,52,134198,6418,512,16,High School,0
109626,25,164082,52117,521,8,High School,0
350191,36,57753,36318,564,0,PhD,0
444386,31,51738,9025,678,23,Master,0
400431,47,44245,62651,510,21,Master,0
687372,40,134305,81133,441,27,PhD,0
905338,48,42970,28027,307,19,Master,0
360633,50,170950,33827,693,7,PhD,0
802887,60,66141,42384,648,0,High School,0
308012,39,98904,71126,621,24,PhD,0
191578,20,86517,99997,772,16,Master,0
752212,52,163668,73111,345,8,Bachelor,0
256207,30,137151,94694,595,26,PhD,1
591506,23,36305,54511,839,26,Master,0
378020,54,172948,40896,689,17,PhD,0
916423,44,174612,69975,494,0,Bachelor,0
53749,46,157986,26150,326,1,Bachelor,1
25178,52,39142,97393,744,8,High School,0
898423,41,101181,41833,354,22,High School,0
808378,20,145641,80686,322,17,Master,0
826933,24,120777,8010,503,26,Master,0
661052,24,167768,19808,537,10,Bachelor,0
349391,34,121681,8850,492,22,Bachelor,0
518487,45,121433,78822,583,16,Bachelor,0
992834,58,104899,95211,345,21,Master,0
684184,31,42800,35174,658,16,Bachelor,0
627390,35,132941,81995,332,24,High School,1
812504,30,67248,70179,819,29,Master,0
933148,63,65768,20391,634,12,High School,0
401556,37,64497,9176,465,25,PhD,1
568895,36,177317,77345,707,11,High School,1
386263,49,134241,26829,740,1,PhD,0
225162,29,101166,39564,514,27,Bachelor,1
803394,31,44384,62871,526,7,Bachelor,0
316837,29,92564,5496,340,9,Bachelor,0
17444,62,60899,51665,409,23,PhD,1
170570,40,32548,7620,352,4,PhD,1
341579,33,54033,14968,782,3,Bachelor,0
566017,46,100573,24086,444,18,Master,0
980567,31,181910,79561,671,12,High School,0
157386,43,150537,23580,475,9,Master,0
316015,21,191277,35080,771,8,Bachelor,0
495723,54,191569,19762,410,22,Bachelor,0
97106,42,34289,91401,403,13,Master,0
740797,21,115548,13608,793,20,Bachelor,0
346491,34,152435,48565,534,11,PhD,0
992118,19,149708,64467,701,1,High School,0
139919,65,117221,49460,430,0,Bachelor,0
666444,45,109848,53834,628,28,PhD,1
654513,42,159299,95950,644,8,PhD,0
219013,25,49464,64002,622,27,PhD,0
47005,49,48524,95091,549,1,PhD,0
824647,30,187950,42756,328,18,PhD,1
28932,44,193853,36391,443,14,PhD,0
300196,48,81491,8446,335,30,PhD,0
684129,49,52250,87891,520,30,High School,0
63365,61,82772,87142,466,12,Bachelor,0
55660,37,155263,45712,604,20,Bachelor,0
503526,58,35962,39186,412,19,High School,0
490682,27,131156,21351,354,9,Master,0
349459,24,47884,50816,652,29,High School,0
937772,61,180221,90751,549,9,PhD,0
110071,43,160582,43325,817,29,High School,0
128127,40,100235,35925,668,11,High School,0
560803,62,81967,99038,462,30,Master,0
810142,46,189449,22488,831,8,High School,0
896688,58,177500,91681,765,25,Master,0
852852,36,47699,23222,784,4,Master,0
949039,40,34003,74687,686,30,Master,0
362319,25,115727,38730,390,20,Master,0
403505,49,46683,35134,348,12,PhD,0
742841,28,92580,76186,641,27,Master,0
265894,47,141470,81205,460,29,Bachelor,0
994815,38,124940,28164,513,10,High School,0
315898,65,167328,35591,483,0,PhD,0
710382,19,174682,15167,421,18,High School,0
603938,25,126476,49787,484,22,PhD,0
283350,43,151486,99143,822,7,High School,0
302367,56,96472,67837,737,15,Bachelor,0
733810,40,125744,99354,303,19,Master,1
611452,35,111939,7795,681,23,Master,1
342625,41,38424,49977,684,14,PhD,0
124050,38,64180,19835,484,9,Bachelor,0
156355,47,160414,71638,408,17,Master,0
175667,57,182562,82991,546,18,Master,0
971622,43,108019,46195,470,24,Master,0
377790,35,183026,11950,586,27,Master,1
207817,37,43306,45141,837,4,PhD,0
336712,26,101858,59278,354,6,Master,1
838144,47,34450,72286,811,17,Bachelor,1
624796,54,51876,48280,793,29,Bachelor,0
858815,19,101118,14773,744,17,Bachelor,0
604150,18,154529,66034,483,23,Bachelor,0
605682,62,88177,64324,784,5,PhD,0
522347,48,193805,46484,542,21,High School,1
643417,18,147494,22465,426,13,Master,0
347282,60,52021,12986,420,26,PhD,0
262405,31,103591,77206,704,26,PhD,0
587007,25,166082,28318,327,15,High School,0
490938,64,156982,20700,583,8,PhD,1
483123,55,130848,82932,400,13,Bachelor,0
767268,33,195304,98450,688,29,PhD,0
675666,21,30721,15809,333,9,High School,0
636168,52,198037,32942,827,1,Master,1
609469,23,176018,18569,625,21,Bachelor,0
720286,23,146256,55678,701,6,PhD,0
49188,18,139033,26211,369,15,High School,0
586371,58,178168,81446,675,19,PhD,1
241728,40,119172,82113,783,4,High School,1
996916,60,46199,28724,313,28,High School,0
216333,40,98263,11621,420,9,Bachelor,0
583774,44,127338,33766,420,19,High School,0
776418,45,107979,68495,809,28,PhD,0
831062,42,88620,89671,459,8,PhD,0
167127,42,142558,75779,459,30,Bachelor,1
550035,60,186311,7110,495,6,Master,0
165045,63,170372,9771,756,21,PhD,0
669105,39,57670,40467,360,2,Master,0
920907,36,178133,55939,330,9,Bachelor,0
545788,23,103119,43518,712,6,Master,0
657938,26,163121,8827,373,20,Bachelor,0
42863,47,177211,6731,774,9,PhD,1
877559,20,29389,99357,604,9,High School,0
522263,42,32871,41304,724,19,Master,0
267362,46,144517,47396,649,1,High School,0
627402,53,144442,91146,544,15,PhD,0
896971,29,74356,58913,455,8,High School,0
93165,62,49906,76812,629,29,Master,0
714754,59,130379,26188,395,10,PhD,0
331408,26,130301,43511,387,16,High School,0
685079,39,85997,43803,412,12,High School,0
797246,55,34783,5487,535,29,Master,1
118696,45,158179,16736,803,4,High School,1
295398,38,114185,71006,614,27,PhD,1
698420,48,40742,49633,612,22,Bachelor,0
524592,36,93196,15351,790,19,High School,0
813499,34,162671,17251,348,23,Master,0
742435,59,96448,36028,359,6,Bachelor,0
984458,28,197920,63568,564,22,PhD,0
619576,20,83079,59767,349,10,PhD,0
737640,41,33390,15361,712,2,Master,1
888089,35,69729,59787,606,9,Master,0
695747,58,85829,36395,437,6,High School,0
276326,29,132319,88322,572,1,Master,0
966232,51,61432,50226,790,14,PhD,1
494926,62,121295,13785,815,26,High School,0
272559,45,67936,98531,622,16,PhD,1
492290,48,74761,72271,585,28,Bachelor,0
660379,61,194116,21477,478,23,Bachelor,0
377644,35,167308,54047,831,26,High School,0
797963,56,85677,13086,463,0,Master,0
439875,37,114954,33698,631,26,Master,0
782775,46,139232,10186,505,14,Master,1
684377,50,29347,6229,523,28,Bachelor,1
442887,23,138917,99974,532,17,Bachelor,0
367384,23,109482,47312,630,28,PhD,1
771681,64,94472,65465,317,18,PhD,0
716013,63,155906,11913,516,14,PhD,0
456640,32,68115,77187,396,22,Bachelor,0
601457,43,139835,51134,835,26,PhD,0
573436,39,133709,83154,570,16,PhD,0
203133,26,66430,95069,426,21,High School,0
503463,20,87376,95849,801,1,High School,0
376618,55,96031,27996,753,19,Master,0
149364,61,196443,66479,410,18,Bachelor,0
310457,23,108003,66757,635,29,High School,0
152954,41,101304,51822,595,8,Master,0
411706,41,30625,85351,677,21,Bachelor,0
209591,39,194499,32451,390,19,Bachelor,0
713231,48,191550,57618,606,28,PhD,1
525579,53,34695,42829,759,13,Bachelor,0
200706,19,51198,44147,627,15,Master,1
991946,21,120721,90224,417,16,Master,0
683296,57,59480,57978,527,12,Master,0
28898,40,170973,68080,491,7,Master,0
338574,28,83567,61951,798,11,PhD,0
263767,59,177661,23627,488,22,Master,0
652466,41,170169,42246,813,18,PhD,0
266311,44,95227,31684,644,23,PhD,1
492129,25,58351,61848,398,8,Master,0
269489,42,140256,72733,488,23,Master,0
328591,19,68954,69673,639,2,High School,1
382090,61,189078,40217,704,18,Bachelor,0
166045,25,153700,49067,475,1,PhD,0
177682,58,98784,43210,385,21,Master,0
988298,42,75274,61789,639,15,Bachelor,0
72259,29,125591,67465,445,24,High School,0
233294,64,157029,39770,553,1,Bachelor,1
330135,50,42986,18181,366,3,Bachelor,0
8780,24,103167,55601,464,15,Bachelor,0
786857,23,122504,50186,716,6,Master,0
10184,56,190153,41077,652,4,Bachelor,0
454806,28,77960,18569,849,24,High School,0
596721,51,62259,79540,517,25,High School,0
602703,61,130913,62128,414,27,PhD,0
748512,57,81667,5818,646,2,PhD,0
492942,55,128744,80479,575,18,Master,0
491939,58,107407,48514,356,6,PhD,0
885008,63,129076,66147,713,10,PhD,0
969708,40,162532,56008,524,28,Bachelor,0
699732,32,176785,14401,443,10,Bachelor,1
895650,41,142145,46961,560,11,Bachelor,0
723816,31,37491,78210,787,13,High School,0
407691,60,70869,29788,382,9,Bachelor,0
195991,63,47185,90745,545,19,PhD,0
91949,42,100347,89685,412,28,Master,0
619103,56,109857,79442,723,18,Bachelor,0
271809,51,53048,34977,609,29,Master,0
759581,56,155545,74147,821,25,Bachelor,0
484281,28,69880,56723,812,6,High School,0
903563,52,97429,89841,849,7,PhD,0
267229,60,101113,74787,456,30,Bachelor,1
464145,26,171542,92651,390,14,PhD,1
489603,35,170727,48541,452,14,High School,0
366645,42,154977,23022,587,1,High School,1
914761,28,41542,14046,799,18,Bachelor,0
784164,26,161848,89068,399,6,Master,0
286827,47,87291,7328,705,29,Bachelor,1
76749,25,79752,30976,503,6,High School,0
9321,28,123792,79691,608,13,Master,1
124714,30,185193,96320,463,18,High School,0
737334,20,143841,57406,703,1,High School,0
305518,38,29357,34095,419,6,High School,0
1658,19,116528,61154,573,2,Master,0
575018,44,188003,71434,331,26,High School,1
541746,60,194618,64484,353,1,PhD,0
250004,23,37602,53396,604,26,PhD,0
391320,64,165986,32804,702,28,PhD,0
308781,60,63148,22722,525,12,Master,1
944981,25,64787,78267,679,22,Master,0
671650,51,67085,7704,425,26,Master,0
664785,30,82989,40827,314,11,Master,0
425284,47,115687,85578,725,16,Bachelor,0
837927,26,120738,98960,462,13,Bachelor,0
914200,23,66033,41190,785,3,Master,0
499930,23,108370,88622,732,23,High School,0
257266,59,80322,53387,453,24,High School,0
732913,63,131562,48855,669,17,High School,0
462191,19,199633,45041,841,5,Master,0
655380,19,186805,16383,842,16,High School,0
337801,49,42901,91872,629,18,High School,0
588509,19,105498,83735,557,18,Master,0
377275,53,81567,83316,454,25,Bachelor,0
155778,55,85071,82925,728,15,High School,0
675529,54,160136,42693,668,30,Bachelor,1
694311,64,195271,30058,730,6,Master,0
982939,22,96058,97332,551,8,High School,1
704414,43,152952,53057,695,21,Master,1
212747,27,33066,68549,367,13,PhD,0
204580,35,60557,25955,630,27,Master,1
122690,18,126617,16799,422,25,High School,0
266448,38,35659,28463,611,9,High School,0
74042,35,162436,90722,579,3,Master,0
772470,22,85517,52511,714,1,Bachelor,0
67306,34,174070,62183,585,30,PhD,0
848462,27,101404,84889,519,12,Master,0
666186,46,77538,70054,818,13,Master,0
936724,20,177738,40956,757,3,Master,1
161993,56,193914,57251,493,13,Bachelor,0
921305,35,112850,20365,389,27,PhD,1
888324,57,80305,58412,508,4,High School,0
698742,53,97302,61860,796,6,High School,0
424470,53,136231,40871,353,27,Master,1
915337,41,148996,66446,841,28,PhD,0
414351,33,111637,19916,340,5,Master,0
124774,31,135180,45969,733,9,Bachelor,0
505806,50,179800,18731,632,13,Bachelor,1
125968,24,23898,60485,824,18,Bachelor,0
366597,41,198518,42943,740,6,Bachelor,0
796682,24,121894,68736,469,28,High School,0
26254,50,61239,49926,797,27,PhD,0
504425,35,187016,49190,660,27,PhD,0
379394,40,163202,70180,637,20,Master,0
200661,55,119847,12870,701,7,Master,0
899257,26,46598,40999,407,26,Master,0
184197,42,28397,83864,321,3,Master,1
269683,59,73332,6078,736,29,Master,0
779743,30,48849,59247,703,2,Master,0
203170,19,37837,52178,648,8,Master,0
84436,27,123971,87931,421,13,PhD,0
503563,62,160271,74999,717,7,PhD,0
159420,38,37479,70338,767,27,Master,1
561143,63,96675,47566,811,15,High School,0
700738,41,164856,47850,646,7,Master,0
670148,61,117520,63100,809,18,Master,0
311535,26,94591,80032,501,1,High School,0
955188,24,167448,65779,640,26,Master,0
942546,36,133197,53052,613,0,PhD,0
96617,47,106155,48371,647,7,PhD,0
267710,50,73898,57985,511,0,Bachelor,0
252675,35,50531,81805,375,17,Master,0
232702,31,133437,8990,431,5,Bachelor,0
864661,65,20923,19846,517,21,Master,1
96496,57,106475,36589,511,6,High School,0
859439,59,95983,37901,780,22,Bachelor,0
528725,39,168349,54973,631,19,Master,0
191690,60,170244,94014,795,19,Master,0
680330,29,154112,28078,464,21,Master,0
302342,56,162765,68530,480,25,PhD,1
357293,43,143140,30701,413,26,High School,0
246768,41,70607,71672,845,23,Bachelor,0
731121,26,82661,41148,414,3,Bachelor,1
190673,47,88530,24197,593,6,High School,0
104091,25,63524,91136,536,16,PhD,0
207663,31,89296,44958,534,10,PhD,0
515529,35,41966,39310,637,14,Bachelor,0
5497,65,175960,85334,807,6,Master,1
905820,62,34959,30160,639,15,High School,1
90234,47,63007,89925,698,25,High School,1
103114,48,100795,21447,357,16,Master,0
420749,58,44533,98427,625,24,PhD,0
791583,47,38163,16373,685,1,PhD,0
877444,31,105972,71711,388,12,Bachelor,0
984638,46,175333,77378,810,11,Bachelor,0
766528,59,88712,71075,451,24,Master,1
168699,29,61643,77736,540,6,Master,0
409344,28,133380,39084,519,30,Master,0
701339,56,61206,59143,525,14,Bachelor,1
103728,48,135129,86839,599,19,Bachelor,0
370408,47,103381,56086,453,18,Bachelor,0
34083,41,135611,41802,593,16,Bachelor,0
641723,20,100728,99312,359,17,Master,0
567156,30,197168,76185,796,21,Bachelor,0
195834,32,30859,21263,352,6,Bachelor,0
704451,65,194414,61281,536,0,PhD,0
971158,64,111728,68814,305,14,Master,0
251466,18,58850,87327,382,11,High School,0
626489,38,66803,16063,691,28,Bachelor,1
469572,59,199117,10449,354,7,PhD,1
256277,47,166227,49891,759,21,PhD,0
228782,48,118435,16550,671,5,High School,1
822406,19,27931,6148,828,7,High School,0
304728,60,111398,47510,599,0,High School,0
640692,60,70890,5022,410,6,Bachelor,0
554581,44,79629,38209,684,3,PhD,0
392571,41,169770,45010,540,28,High School,0
155529,56,152201,37467,571,22,Bachelor,0
762784,63,107013,51227,361,28,Master,0
286601,42,89581,21827,576,13,Bachelor,0
114197,42,143035,21870,355,21,Bachelor,0
340485,60,149550,96019,433,15,Bachelor,0
850621,45,61166,25160,791,27,PhD,0
660260,40,158664,90417,579,2,Master,0
514985,55,88663,95525,802,26,PhD,0
634411,41,44460,54977,595,15,PhD,0
25039,49,41718,62770,384,14,PhD,0
464218,62,34845,89480,763,12,PhD,0
747937,40,181953,22300,589,6,Bachelor,1
774142,26,108984,89826,526,22,PhD,0
158565,55,179621,74767,681,8,PhD,0
262065,38,154934,90923,773,7,PhD,1
414680,40,153392,38445,744,0,Master,0
210913,19,176527,5590,579,6,Master,0
512215,34,24880,69477,810,8,High School,0
16407,32,103870,94228,654,17,High School,0
872969,54,77890,48031,691,27,Master,0
505635,23,56694,74168,517,1,Master,0
808723,24,182472,95652,382,29,PhD,1
260857,40,118516,64054,556,23,Bachelor,0
134643,51,54790,45144,441,1,High School,0
733724,64,139832,96075,832,20,Master,0
215308,41,124268,93634,778,8,High School,0
775454,49,91287,61121,709,19,Master,0
322478,23,190371,96870,627,9,Master,1
189253,61,150984,95514,812,10,Bachelor,0
96081,65,123071,72130,738,28,High School,0
750809,56,53052,5590,801,14,High School,0
462712,39,41035,73068,551,11,Master,0
192682,24,179432,77195,833,10,Master,0
355292,48,60368,93054,668,17,PhD,1
134888,40,155073,58524,354,28,PhD,1
412841,60,90968,30695,614,19,Bachelor,0
363909,28,182831,63811,558,20,Bachelor,0
33271,40,98895,99273,584,28,PhD,0
685160,26,114068,67495,606,5,Bachelor,0
689762,58,188232,86176,349,18,Master,0
623495,31,153580,54378,825,3,High School,0
543644,57,163762,96944,458,22,High School,1
23825,38,104585,98526,663,24,High School,0
901456,28,93134,44311,774,26,Master,0
621611,49,55265,41256,442,2,Bachelor,1
134836,43,156746,50430,515,22,High School,0
886808,26,70529,82239,685,7,Master,0
157924,64,128919,55674,467,22,PhD,1
859699,30,109650,6936,741,13,PhD,0
755745,39,43219,73430,796,23,PhD,0
968305,40,118360,87947,477,14,Bachelor,0
215579,61,54961,8684,548,16,Master,0
152605,47,109172,5289,426,15,Bachelor,0
656311,29,103590,13418,405,19,Bachelor,0
899962,34,99390,73739,514,20,PhD,1
613029,53,125534,78032,621,19,High School,0
360585,26,59955,59162,392,15,Bachelor,1
155336,53,62614,74925,568,13,High School,0
878570,36,181373,32818,573,11,High School,1
531925,31,180266,80183,771,12,PhD,0
463668,36,94329,50605,753,23,High School,1
977551,60,189031,37279,644,12,Master,1
919442,44,38028,49187,459,2,Bachelor,0
882556,45,161084,10650,655,25,Bachelor,0
590768,54,96479,98300,583,15,High School,0
224508,60,137234,62381,728,10,Master,0
446743,51,66352,62195,601,11,Bachelor,0
851521,61,81033,6766,406,6,High School,1
184551,48,169377,80715,595,8,Master,0
560133,25,100278,48075,710,15,PhD,0
573404,27,121655,46253,330,11,High School,0
501194,20,56918,25772,756,27,PhD,0
184030,19,183857,77179,400,2,Master,1
738358,48,85976,83557,453,1,PhD,0
631954,28,112090,54573,449,3,High School,0
431465,22,67091,10065,546,2,High School,0
757270,61,69311,27040,661,4,Bachelor,0
706485,55,128357,64820,659,6,PhD,0
420001,38,31486,99910,542,30,PhD,0
200001,54,143554,83049,460,14,High School,0
371705,62,138225,47500,821,17,High School,0
147958,21,112509,10053,545,19,Master,0
909791,22,90636,94885,825,1,PhD,0
303372,51,90006,13145,790,22,PhD,0
984193,46,184281,45029,605,23,High School,0
363982,18,89838,66770,450,15,PhD,1
402672,59,145070,10643,529,9,Bachelor,1
584744,41,90141,75189,301,0,High School,1
920808,40,72700,40443,480,24,High School,0
487693,58,174371,24405,306,22,PhD,0
732067,48,37750,58832,838,29,Master,0
904986,24,109302,48852,662,24,Bachelor,1
750075,24,90176,87436,536,16,Bachelor,1
73361,32,29558,49123,465,16,Bachelor,0
427544,50,25948,20052,742,5,Bachelor,0
119393,21,162381,59690,426,2,High School,1
685025,52,54055,55215,845,14,PhD,1
484045,61,88779,57518,653,12,Master,0
945401,58,47690,37617,774,11,Master,0
983309,54,85635,17189,814,16,Bachelor,1
873077,32,74111,72296,783,8,PhD,1
89053,44,59777,50580,503,5,Bachelor,0
230881,56,66873,28470,635,11,High School,0
397766,58,45312,47100,562,25,PhD,0
824522,23,127922,40821,420,29,Master,0
302723,25,92143,74163,645,30,High School,0
549465,56,178549,66723,407,18,Master,0
471000,53,80852,8173,730,11,Master,0
729159,44,117931,64232,664,10,Bachelor,0
784995,30,198077,80077,582,28,PhD,1
370026,47,164920,7225,465,29,Bachelor,0
348441,57,152328,8244,357,27,Bachelor,1
476179,44,169472,33264,425,21,PhD,0
469040,43,69778,98363,825,19,High School,0
433958,40,104275,57662,682,6,Bachelor,0
254969,49,128159,53923,738,23,Master,0
376078,53,70539,85690,426,23,Master,0
942054,48,182589,20283,459,9,Master,1
343319,33,72853,5671,774,27,High School,1
700200,62,85948,58022,316,2,PhD,0
386084,55,175689,69606,436,24,Master,0
288012,20,108138,88774,320,0,Master,0
553637,23,93440,23961,429,0,High School,0
609106,39,193350,58409,336,20,Bachelor,0
618873,32,174734,37046,761,29,High School,0
29906,34,178268,57556,804,1,Bachelor,0
159822,35,94499,92081,542,17,High School,1
462933,21,40490,72196,627,1,High School,0
723412,29,111509,41392,621,8,High School,1
290745,41,30718,94078,541,16,Bachelor,0
748108,41,152428,9092,634,4,High School,0
160313,33,87468,95466,401,3,Bachelor,1
412255,64,138649,18770,551,10,Bachelor,0
230206,53,23091,89991,461,10,Master,0
638827,41,151623,32964,526,19,PhD,1
996252,42,116236,19805,673,27,Master,1
570361,22,152960,90225,450,28,Master,0
255852,56,107100,33506,626,12,Bachelor,1
772317,25,130023,88800,384,15,High School,0
74810,49,179722,90215,347,13,Master,0
775956,54,143429,25082,777,9,Master,0
217860,34,174422,75711,572,27,PhD,0
987823,39,39610,7666,300,0,PhD,1
53320,29,116890,12729,321,13,PhD,0
887053,46,107383,63239,442,18,PhD,1
210664,30,37646,37981,598,1,High School,0
820930,33,140397,62527,756,28,Bachelor,0
191406,45,72646,25092,824,22,Bachelor,0
31333,20,132079,52061,574,30,Bachelor,0
14045,45,108420,9250,645,21,Master,0
42050,22,139441,57830,723,2,Master,0
907975,43,165028,73326,708,7,PhD,1
25124,32,112912,97763,441,7,High School,0
679422,44,189087,73523,342,2,Bachelor,0
629493,59,180307,57488,784,12,Master,0
804753,26,155356,98117,599,23,High School,0
835879,50,129677,46750,537,6,Bachelor,0
459684,52,54578,22099,388,7,High School,0
395243,19,34967,27668,840,23,PhD,0
328103,48,112036,25862,635,3,Bachelor,0
250320,55,88429,33907,771,4,Master,1
176352,30,162335,40588,849,14,Bachelor,0
18649,23,36301,56263,444,5,Bachelor,0
529757,55,122922,59479,357,17,Master,0
748887,58,87179,12515,669,23,Master,0
489556,36,40014,77051,743,6,PhD,0
202856,29,196679,34154,494,23,Bachelor,0
331503,36,54874,27766,471,12,Master,0
220428,40,155920,77146,640,2,Bachelor,0
67092,22,98062,15593,756,30,High School,0
834945,57,27020,38494,656,2,High School,1
125430,47,96162,9547,427,4,High School,0
225234,30,115045,53179,356,3,High School,0
334255,52,47758,36930,580,26,High School,0
902032,45,167429,54840,815,11,Bachelor,1
754421,30,55684,99991,773,9,High School,0
707187,26,146615,96729,320,21,PhD,0
508784,55,199698,82207,812,18,Master,0
297834,25,107545,77380,443,28,PhD,0
14477,46,48108,93956,806,20,High School,0
178627,38,80725,73216,605,20,Master,1
940783,45,20849,61643,421,8,Bachelor,0
218716,31,32236,76847,777,1,High School,0
704124,45,51066,40958,351,5,Bachelor,0
171698,30,38801,29433,625,9,High School,0
